鄉鎮市區,交易標的,土地區段位置／建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,單價(元／平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
東區,建物,中華路三段31～60號,0,,,,10403,建物1,五層,17,住宅大樓,住家用,鋼筋混凝土造,8605,3房,2廳,2衛,有隔間,有管理組織,15000,607,,0,0,租金含管理費
北區,建物,北新街121～150號,0,,,,10403,建物1,八層,10,華廈,,鋼筋混凝土造,9803,2房,2廳,1衛,有隔間,有管理組織,16000,1624,,0,0,租金含管理費.第四台.網路
東區,建物,東大路一段52巷31～60號,0,,,,10403,建物1車位1,四層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,8008,3房,2廳,2衛,有隔間,無管理組織,11000,345,坡道平面,0,0,無
北區,建物,湳雅街176巷6弄1～30號,0,,,,10403,建物1,五層,5,華廈,住家用，共同使用部份,鋼筋混凝土造,8011,2房,2廳,1衛,有隔間,無管理組織,10500,461,,0,0,無
香山區,建物,中山路640巷361～390號,0,,,,10403,建物1,一層,7,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,8903,3房,2廳,2衛,有隔間,有管理組織,15000,420,,0,0,無
北區,建物,中華路三段121～150號,0,,,,10403,建物1,六層,12,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8212,3房,2廳,2衛,有隔間,有管理組織,15000,331,,0,0,含管1600
北區,建物,竹光路331～360號,0,,,,10403,建物1車位1,十五層,20,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8407,3房,2廳,2衛,有隔間,有管理組織,13500,387,坡道平面,0,0,含管1200
東區,建物,中央路151～180號,0,,,,10403,建物1,五層,29,住宅大樓,見其他登記事項,鋼筋混凝土造,9611,3房,2廳,2衛,有隔間,有管理組織,42000,960,,0,0,無
北區,建物,水田街91巷1～30號,0,,,,10404,建物1,一層,4,透天厝,住家用,加強磚造,,1房,1廳,1衛,有隔間,無管理組織,28000,778,,0,0,無
東區,建物,建功一路47巷1～30號,0,,,,10403,建物1,四層,5,公寓,國民住宅,,7212,3房,2廳,2衛,有隔間,無管理組織,15000,653,,0,0,無
東區,建物,建功一路53巷1～30號,0,,,,10403,建物1,四層,5,公寓,國民住宅,鋼筋混凝土造,,3房,2廳,2衛,有隔間,無管理組織,13500,588,,0,0,無
東區,建物,建功一路51巷1～30號,0,,,,10403,建物1,一層,5,公寓,國民住宅,鋼筋混凝土造,7305,3房,2廳,2衛,有隔間,無管理組織,14500,632,,0,0,無
東區,建物,明湖路393巷16弄1～30號,0,,,,10403,建物1,見其他登記事項,2,透天厝,住家用,鋼筋混凝土造,8405,4房,2廳,3衛,有隔間,無管理組織,20000,311,,0,0,無
東區,建物,光復路二段901～930號,0,,,,10403,建物1,八層,12,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8309,3房,2廳,2衛,有隔間,有管理組織,14500,459,,0,0,無
